uidA,uidB,ConfidenceA,ConfidenceB,PPI_type
Q13233,P62249,59.63,93.87,1
Q2NKX8,P53350,62.79,85.17,1
Q13233,E9KL48,59.63,90.63,1
Q99558,P27635,61.29,94.87,1
Q13233,P48643,59.63,89.4,1
Q9Y6K9,A0A024RBS2,82.83,77.61,1
Q9Y4K3,P25789,86.19,93.26,1
Q9Y6K9,O75691,82.83,,1
A0A140VJJ8,Q99759,96.58,67.2,1
O14983,P20333,88.62,67.53,1
Q00653,O15111,76.08,84.64,1
P07814,O43318-2,83.43,,1
P15924,Q15653,,,1
P31483,P50616,73.57,67.09,1
P19438,P04350,71.68,92.24,1
P19438,P33778,71.68,87.64,1
Q99558,Q2NL82,61.29,80.53,1
Q9Y572,A0A384NPQ2,67.62,96.83,1
Q01201,Q01201,69.8,69.8,1
Q9NWS0,Q99759,79.93,67.2,1
P19438,A0A384NKX5,71.68,88.81,1
P62241,Q00653,92.85,76.08,1
Q8N2G8,A0N0R2,82.97,77.33,1
Q3ZCQ8,Q9NYJ8,80.56,53.03,1
P63261,Q9NYJ8,95.34,53.03,1
O60934,Q13428,63.45,42.07,1
Q14974,Q15628,94.92,84.91,1
Q9Y6K9,A0A024R7B7,82.83,79.77,1
A0A024RBH9,Q9Y572,75.04,67.62,1
Q00839,O14920,65.78,86.45,1
A0A024R8H5,Q9H1R3,87.27,68.79,1
Q16643,Q9Y572,63.04,67.62,1
Q15653,A0A024R9D3,77.34,85.45,1
P43320,P02489,89.38,75.31,1
O14654,Q13233,49.03,59.63,1
A0A0S2Z4J1,Q01201,88.99,69.8,1
Q3ZCQ8,Q9Y572,80.56,67.62,1
P25963,Q15653,82.58,77.34,1
Q8N163,O14920,68.6,86.45,1
O00411,P25963,83.78,82.58,1
Q92844,Q00610,60.39,78.04,1
Q15653,P11021,77.34,90.33,1
Q00653,P19338,76.08,62.53,1
Q96M61,Q8TBB1,75.32,72.41,1
A0A1U9X7W7,Q15653,89.35,77.34,1
P04350,Q04864,92.24,66.88,1
Q99558,O95793,61.29,68.18,1
Q9Y6K9,Q00839,82.83,65.78,1
Q9Y6K9,P78527,82.83,,1
Q99958,Q99958,57.48,57.48,1
Q00653,Q9BUF5,76.08,92.16,1
P19438,Q3ZCQ8,71.68,80.56,1
P19438,A0A0S2Z591,71.68,57.12,1
Q00653,P54136,76.08,92.24,1
A0A024RB87,Q99558,89.84,61.29,1
Q9Y6K9,P06576,82.83,85.83,1
Q9Y333,Q9H9D4,94.61,56.18,1
P27708,A0A024QZU0,87.41,65.18,1
P11142,Q99558,89.18,61.29,1
Q05481,Q9NZZ3,70.91,79.85,1
Q9R064,P01135,64.66,66.89,1
Q9UHD2,P78371,89.88,89.67,1
P19438,Q9UBV2,71.68,81.45,1
Q9HAV0,Q9Y572,97.11,67.62,1
Q9Y4K3,A0A140VJS6,86.19,96.42,1
P11142,Q15653,89.18,77.34,1
P58107,Q99759,,,1
K9JA46,Q99759,84.41,67.2,1
P25963,O14920,82.58,86.45,1
A0A024R206,Q9Y4K3,55.75,86.19,1
A8K7B7,Q99759,92.46,67.2,1
Q14257,P20333,78.27,67.53,1
A0A024R8P8,P20333,94.61,67.53,1
P23396,Q15628,91.34,84.91,1
Q99558,Q9NR30,61.29,70.33,1
A0A024RCT6,Q7L622,65.54,85.65,1
Q9Y6K9,P0DPH7,82.83,91.52,1
P05141,Q9Y6K9,91.43,82.83,1
P27708,Q9Y572,87.41,67.62,1
P19438,P19438,71.68,71.68,1
Q9GZS1,Q15653,83.35,77.34,1
Q9NYJ8,Q07021,53.03,75.82,1
P25963,B1AHB0,82.58,78.53,1
A0A024R3T8,O14920,77.9,86.45,1
Q96P71,A0A024R179,71.96,94.06,1
B2R491,Q00653,95.46,76.08,1
P19438,Q96AG4,71.68,88.14,1
Q9Y4K3,A0A384P5G6,86.19,84.94,1
Q9Y6K9,O00159,82.83,83.47,1
A0A384MR33,A0A0S2Z4A5,81.06,79.9,1
A0A1U9X777,Q9UKJ0,88.64,81.06,1
A0A0S2Z4Z8,A0A0S2Z4Z8,75.22,75.22,1
Q71U36,Q99759,91.89,67.2,1
Q9NPJ4,A0A024R7L8,66.63,71.11,1
P11142,Q9UHD2,89.18,89.88,1
A0A024RCR3,O75935,67.61,89.8,1
Q9Y6K9,A0A024RCN6,82.83,86.45,1
A0A024RC65,Q9Y572,,,1
P17858,Q99759,92.8,67.2,1
A0A024R1K7,Q99759,93.46,67.2,1
A0A024R2G7,Q99558,91.8,61.29,1
A0A024R1Q8,Q9Y572,92.61,67.62,1
Q93008,Q01201,79.97,69.8,1
Q9Y6X3,Q6KC79,91.61,,1
A0A024QZG3,Q9NRI5,67.91,64.74,1
Q71UM5,Q99759,93.16,67.2,1
Q96JK9,P46531,47.45,57.5,1
Q9Y6K9,P04350,82.83,92.24,1
A0A024RCR3,A6NC98,67.61,70.21,1
Q15653,P23508,77.34,75.5,1
O43318-2,P41252,,,1
L7RRS6,A4QPA9,66.05,82.18,1
P05023,Q15628,88.7,84.91,1
Q9Y6K9,A0A024R158,82.83,80.02,1
P41279,A0A024RD80,74.45,82.98,1
Q99558,O95816,61.29,86.84,1
P55072,Q99759,83.37,67.2,1
P25963,Q01201,82.58,69.8,1
P07437,P25963,91.86,82.58,1
A0A1U9X7R0,H9NIL8,83.13,77.1,1
Q92844,P41252,60.39,88.87,1
Q9Y6K9,P25963,82.83,82.58,1
P19438,A0A1U9X7W7,71.68,89.35,1
Q92844,P08779,60.39,74.43,1
P05141,P25963,91.43,82.58,1
Q9Y6K9,P53621,82.83,85.08,1
P62249,Q15628,93.87,84.91,1
Q9H410,Q9CYC5,68.58,67.26,1
Q13114,Q99558,87.91,61.29,1
Q549N0,Q99759,81.7,67.2,1
P42227,O43318,85.8,69.95,1
O43318-2,K9JA46,,,1
Q14157,A0A1U9X974,42.85,,1
Q14257,P19438,78.27,71.68,1
Q00653,A0A024R9D3,76.08,85.45,1
Q99558,A0A384P5G6,61.29,84.94,1
Q9Y6K9,Q9Y6K9,82.83,82.83,1
P62987,Q99759,93.48,67.2,1
A0A024R694,Q9HBI1,83.49,82.46,1
Q14257,Q9Y4K3,78.27,86.19,1
O95807,A0A024QZW3,83,72.04,1
Q00653,A0A024R3T8,76.08,77.9,1
A0A024R7B7,Q9Y572,79.77,67.62,1
P04899,Q99759,94.31,67.2,1
P41595,Q96S55,71.74,72.19,1
P11142,Q9NYJ8,89.18,53.03,1
A0A1U9X974,Q9UNL2,,,1
P20333,Q9BVA1,67.53,91.95,1
Q9Y6K9,O15111,82.83,84.64,1
P52272,A0A1U9X974,56.56,,1
A0A0S2Z590,O00299,88.16,94.25,1
Q08211,Q00653,81.38,76.08,1
P62241,Q13233,92.85,59.63,1
P47756,Q9Y572,89.7,67.62,1
P50616,D5MQE1,67.09,92.77,1
Q9UBC9,P25963,52.86,82.58,1
A0A024R6W2,Q14164,90.96,88.66,1
A0A024RB22,Q01201,62.42,69.8,1
P25963,Q04864,82.58,66.88,1
Q9Y6K9,A0A384NKX5,82.83,88.81,1
A0A384MEJ3,Q04864,59.09,66.88,1
A8K6K3,P34932,77.07,86.15,1
Q9NYJ8,P11021,53.03,90.33,1
Q99558,Q9BVA1,61.29,91.95,1
Q00653,Q6P2Q9,76.08,85.04,1
A0A024R8H5,O95816,87.27,86.84,1
A8K6K3,A0A384P5G6,77.07,84.94,1
P52294,Q01201,86.23,69.8,1
P20333,Q15758,67.53,79.59,1
P46379,O43765,58.55,82.08,1
Q00653,Q00839,76.08,65.78,1
A0A024RC65,O14920,,,1
Q13114,Q92844,87.91,60.39,1
B1AQP2,Q99759,79.87,67.2,1
P19438,A0A024RBB7,71.68,77.14,1
Q9P0K7,Q99759,73.58,67.2,1
Q9BSR8,Q8C407,70.52,70.05,1
P11142,Q9Y6K9,89.18,82.83,1
P11441,Q99759,79.63,67.2,1
Q9Y6K9,P56192,82.83,90.47,1
O43242,Q9Y4K3,73.49,86.19,1
O15516,P97784,61.96,83.95,1
A0A1U9X974,Q10570,,,1
P20265,P23760,62.86,65.22,1
A0A024R8H5,P31689,87.27,83.35,1
P15924,Q01201,,,1
Q92922,Q01201,68.26,69.8,1
Q13233,P50990,59.63,87.9,1
Q13573,P46531,78.17,57.5,1
Q9Y6K9,P07437,82.83,91.86,1
Q00653,B2R4W8,76.08,91.81,1
O00159,Q99759,83.47,67.2,1
Q06609,P15927,91.59,80.68,1
A0A024R6Z6,Q8WTW3,77.81,77.8,1
Q9Y6K9,P05937,82.83,81.57,1
O14867,Q8N427,56.81,78.75,1
Q562R1,Q8IW35,95.13,58.99,1
P01375,P20333,85.01,67.53,1
P62241,Q9UHD2,92.85,89.88,1
Q9UHD2,P18124,89.88,94.06,1
P62280,Q00653,88.29,76.08,1
Q9Y6U3,Q99759,82.08,67.2,1
Q13576,Q99759,79.37,67.2,1
A0A024R6M6,Q13233,85.05,59.63,1
A8K4C8,Q9UHD2,95.34,89.88,1
P53674,P53674,82.37,82.37,1
K9JA46,P07901,84.41,85.54,1
O43175,Q99759,92.85,67.2,1
P83731,Q99558,80.67,61.29,1
P07437,Q14164,91.86,88.66,1
A0A024R8H5,P42345,87.27,77.48,1
Q9R064,P51512,64.66,77.55,1
P16403,Q13888,65.03,84.45,1
Q99558,Q5JTH9,61.29,78.1,1
P0DPH7,Q01201,91.52,69.8,1
P36895,P36894,82.8,83.27,1
A0A1U9X7W7,Q01201,89.35,69.8,1
Q3ZCQ8,Q99558,80.56,61.29,1
Q9Y4K3,P11021,86.19,90.33,1
A0A024RD47,F1D8S3,,,1
P19438,A0A384P5G6,71.68,84.94,1
P11142,P60709,89.18,95.51,1
Q13233,P21333,59.63,77.38,1
Q00653,A0A024RC65,76.08,,1
Q9NYJ8,A0A024R1Q8,53.03,92.61,1
A0A0R4J2E8,Q00653,51.41,76.08,1
P41252,Q99759,88.87,67.2,1
Q99558,A0A024RBK3,61.29,83.09,1
Q12778,G4XH65,51.44,65.17,1
P51587,Q9NTI5,,,1
P83731,Q13233,80.67,59.63,1
Q9BZE0,O60716,54.12,65.31,1
Q00653,P13010,76.08,83.74,1
Q92844,A0A024RBB7,60.39,77.14,1
Q99558,A8K517,61.29,93.19,1
E9KL35,Q9UKT8,89.39,88.25,1
A0A024R6M6,Q99759,85.05,67.2,1
P35580,Q14164,75.49,88.66,1
Q9Y6K9,P21333,82.83,77.38,1
P62879,Q99759,97.18,67.2,1
P07437,Q00653,91.86,76.08,1
P48556,Q9Y4K3,65.38,86.19,1
A0A024R7B7,Q99759,79.77,67.2,1
A0A384N5Z8,Q01201,64.85,69.8,1
Q96EZ8,A0A024RCR3,76.11,67.61,1
A0A024R582,Q01201,63.9,69.8,1
Q12789,Q00653,66.11,76.08,1
Q99558,P0DPH7,61.29,91.52,1
A0A140VK42,Q9Y4K3,80.19,86.19,1
P41279,P11021,74.45,90.33,1
A0A024R206,Q99759,55.75,67.2,1
Q9Y6K9,Q3ZCQ8,82.83,80.56,1
A0A097PIJ6,P43320,90.01,89.38,1
P20333,P05023,67.53,88.7,1
Q9BZ29,Q15796,79.57,78.16,1
Q9NYJ8,A0A024RB75,53.03,94.45,1
Q9Y4K3,A0A024R3T8,86.19,77.9,1
A0A024R8H5,A0A024R1Q8,87.27,92.61,1
P20333,Q8IUF1,67.53,75.29,1
O95365,Q07666,55.97,65.65,1
Q6NUQ1,Q96EZ8,85.91,76.11,1
Q96GM5,Q01201,78.55,69.8,1
Q13077,Q07021,79.79,75.82,1
P11021,Q04864,90.33,66.88,1
Q92844,A0A024R8H5,60.39,87.27,1
Q00610,Q04864,78.04,66.88,1
O75643,Q7LBR1,83.58,81.24,1
Q13451,Q14164,92.88,88.66,1
A0A384N5Z8,Q15653,64.85,77.34,1
Q71U36,Q13233,91.89,59.63,1
Q9Y572,Q96SB3,67.62,63.4,1
Q99558,E9KL48,61.29,90.63,1
Q15788,G4XH65,47.39,65.17,1
P07437,A0A0S2Z4Z8,91.86,75.22,1
O43318-2,A0A140VJW5,,,1
P47929,Q99759,96.87,67.2,1
Q9UKB1,P25963,86.14,82.58,1
P28074,Q9Y4K3,83.01,86.19,1
Q99558,P62906,61.29,79.47,1
Q9HAI6,Q8N697,58.31,84.6,1
O00159,Q9Y572,83.47,67.62,1
A0A1U9X7W7,A0A024QZU0,89.35,65.18,1
P02511,P02489,75.3,75.31,1
Q9Y6K9,Q96P70,82.83,88.02,1
P05141,P19438,91.43,71.68,1
Q13158,P03126,71.55,,1
A0A024RD80,O14920,82.98,86.45,1
P36776,Q99759,77.49,67.2,1
P41279,K9JA46,74.45,84.41,1
A0A024R1N1,Q14164,,,1
A0A024R6W2,O43318-2,90.96,,1
O15516,O15516,61.96,61.96,1
Q13233,A0A384P5G6,59.63,84.94,1
P08709,Q9Y6K9,82.74,82.83,1
Q92538,P20333,71.87,67.53,1
O95831,Q15628,85.79,84.91,1
A0A024RCM1,A0A024R8E2,78.66,61.76,1
A0A024R6K1,A0A024R880,63.51,86.55,1
A0A0S2Z3Y1,Q14164,79.23,88.66,1
P19438,P42677,71.68,92.78,1
Q9UHB6-3,Q99759,,,1
P50991,Q13233,89.16,59.63,1
A0A024RCA7,Q13233,67.98,59.63,1
O43819,Q99759,83.78,67.2,1
Q13233,P62258,59.63,92.9,1
Q9BTX1,Q8VCB1,76.42,76.87,1
P17844,O43318-2,76.97,,1
Q07021,Q9Y572,75.82,67.62,1
P42677,Q99759,92.78,67.2,1
P19438,Q9NVI1,71.68,83.47,1
Q15628,P31689,84.91,83.35,1
A0A384P5G6,O14920,84.94,86.45,1
Q13233,A0A024RD80,59.63,82.98,1
Q9Y6K9,A0A024RBE9,82.83,76.62,1
Q9Y6K9,P54136,82.83,92.24,1
O43542,O43502,88.14,84.45,1
Q16630,Q01201,64.93,69.8,1
P07814,Q99558,83.43,61.29,1
Q9R064,P50281,64.66,81.77,1
O15027,Q99759,41.12,67.2,1
P20333,Q07021,67.53,75.82,1
Q9Y6K9,Q92616,82.83,82.59,1
P25705,Q99759,88.61,67.2,1
P63261,Q9Y572,95.34,67.62,1
A0A024R7I0,Q13641,79.83,82.82,1
P20333,P78527,67.53,,1
A0A024R1N6,A0A024R1N6,51.53,51.53,1
Q96Q45-2,Q9NX76,,,1
A0A024R8H5,A0A024R3T8,87.27,77.9,1
Q9Y6K9,A0A384P5G6,82.83,84.94,1
P07437,Q15628,91.86,84.91,1
A0A024QZK8,P50616,60.82,67.09,1
A0A1U9X974,B0LPF3,,,1
Q9Y4K3,Q15008,86.19,83.86,1
P19438,P0CG47,71.68,93.71,1
Q13233,Q71UM5,59.63,93.16,1
Q99558,Q01780,61.29,70.59,1
P61964,Q7Z434,93.82,56.63,1
P42677,Q15628,92.78,84.91,1
P11142,Q9Y572,89.18,67.62,1
Q15628,A0A024RD80,84.91,82.98,1
Q9UBK9,Q99759,88.07,67.2,1
Q13233,A0A024R4M0,59.63,90.09,1
P11021,O14920,90.33,86.45,1
P20333,O43592,67.53,91.63,1
P26196,A0A024RA17,84.61,47.18,1
Q04724,Q04725,69.52,68.62,1
A0A384NKX5,Q04864,88.81,66.88,1
Q14974,Q9Y4K3,94.92,86.19,1
Q99558,F4ZW62,61.29,89.38,1
Q14164,P48643,88.66,89.4,1
P60660,Q9Y572,95.37,67.62,1
A0A024RBH9,P20333,75.04,67.53,1
P47211,Q8NEN9,84.31,62.11,1
P58107,P19438,,,1
Q3ZCQ8,P38432,80.56,59.39,1
P02489,A0A0X8GLL6,75.31,96.4,1
Q9Y4K3,P62333,86.19,87.05,1
A0A384MEJ3,Q99759,59.09,67.2,1
P34932,Q99759,86.15,67.2,1
Q00610,Q15628,78.04,84.91,1
P18077,Q13233,95.98,59.63,1
Q9UHD1,K9JA46,81.38,84.41,1
O95163,A0A024RCR3,84.13,67.61,1
Q96P63,Q9JJR9,89.62,71.49,1
P41134,O14936,67.5,79.4,1
O15111,A0A384P5G6,84.64,84.94,1
A0A0S2Z3Y1,P41279,79.23,74.45,1
P11142,Q9Y4K3,89.18,86.19,1
Q9UFF9,P78543,90.83,86.58,1
Q9UBC5,Q99759,85.07,67.2,1
A0A0S2Z3Y1,Q13233,79.23,59.63,1
Q3ZCQ8,A0A024QZU0,80.56,65.18,1
O95373,P20333,88.27,67.53,1
Q15653,O95816,77.34,86.84,1
P20333,Q6AI08,67.53,80.54,1
A0A1U9X974,A0A140VK43,,,1
P35268,Q99558,84.92,61.29,1
P19438,P27708,71.68,87.41,1
P17844,P50616,76.97,67.09,1
Q14164,Q00610,88.66,78.04,1
A0A024QZD1,Q13233,95.4,59.63,1
Q9UM82,Q9NQC7,68.76,74.85,1
Q99558,P62269,61.29,88.98,1
A0A1U9X974,A0A140VJN9,,,1
A0A024RBI5,Q9Y572,88.33,67.62,1
O15117,Q86WV1,58.39,71.44,1
A0A1U9X7W7,Q04864,89.35,66.88,1
Q9H1R3,Q99759,68.79,67.2,1
P53674,A0A024R429,82.37,92.79,1
O95670,P36543,94.19,94.78,1
Q9Y230,Q99558,84.33,61.29,1
P08670,P20333,78.28,67.53,1
P43360,Q13263,72.41,67.51,1
P49368,Q9UHD2,89.09,89.88,1
Q15653,Q00839,77.34,65.78,1
O15111,Q15653,84.64,77.34,1
Q99558,A0A024R1Q8,61.29,92.61,1
A0A1U9X7W7,O14920,89.35,86.45,1
Q9Y6K9,P62140,82.83,91.99,1
Q15653,Q9UJF2,77.34,66.46,1
Q00653,Q93008,76.08,79.97,1
A0A024R7B7,Q14164,79.77,88.66,1
Q9Y572,O14974,67.62,60.37,1
Q16643,Q99759,63.04,67.2,1
Q9Y4K3,P25786,86.19,91.86,1
P35580,P20333,75.49,67.53,1
Q9Y572,Q9Y572,67.62,67.62,1
O43318-2,P11021,,,1
Q13813,Q9NYJ8,76.34,53.03,1
Q9Y6K9,Q14204,82.83,,1
Q9Y6K9,P40222,82.83,75.18,1
P49327,Q13233,85.91,59.63,1
P20333,Q9P035,67.53,88.79,1
Q12959,Q99759,73.99,67.2,1
P19438,B3KNF6,71.68,73.91,1
A0A024R5Y2,Q99759,78.01,67.2,1
Q6P9B9,Q75QN2,78.08,84.82,1
Q13233,P62906,59.63,79.47,1
P41279,P17858,74.45,92.8,1
Q16342,Q15653,85.52,77.34,1
P05813,P43320,88.4,89.38,1
P17844,Q13077,76.97,79.79,1
P35580,Q13233,75.49,59.63,1
Q00653,P11021,76.08,90.33,1
Q00653,Q00610,76.08,78.04,1
A0A024R880,O60563,86.55,60.31,1
P35580,A0A0S2Z4Z8,75.49,75.22,1
Q9H7B4,A0A024RCR3,97.35,67.61,1
P35250,A8K7B7,86.24,92.46,1
Q15628,P0CG47,84.91,93.71,1
A0A384NKW7,P20333,89.6,67.53,1
P11142,O14920,89.18,86.45,1
Q71U36,Q9Y6K9,91.89,82.83,1
Q6WCQ1,Q99759,65.58,67.2,1
A0A024RDL1,Q13233,90.13,59.63,1
A0A0S2Z4Z9,Q13077,73.66,79.79,1
B2RE76,Q9C005,74.19,76.61,1
P28360,P55771,65.8,64.13,1
Q9Y6K9,P62913,82.83,92.01,1
Q9Y6K9,Q676U5,82.83,84.38,1
P22087,Q99558,78.86,61.29,1
P41279,P04350,74.45,92.24,1
P63261,Q15628,95.34,84.91,1
Q92925,Q01201,78.25,69.8,1
P51665,Q9Y4K3,82.92,86.19,1
P05141,A0A024R8H5,91.43,87.27,1
A0A024R1N1,P20333,,,1
P07814,O14920,83.43,86.45,1
Q92844,P54136,60.39,92.24,1
Q14686,P10275,37.41,58.79,1
Q05639,Q99759,88.74,67.2,1
P42677,Q9Y572,92.78,67.62,1
A0A024R5D6,A0A024R5D6,61.07,61.07,1
A8K6K3,Q9BVA1,77.07,91.95,1
P04350,A0A024QZU0,92.24,65.18,1
Q13233,P56192,59.63,90.47,1
P62263,Q01201,90.01,69.8,1
P07814,Q00653,83.43,76.08,1
Q9Y6K9,Q9UIA9,82.83,87.45,1
O43318-2,P23396,,,1
A8K6K3,A8K6K3,77.07,77.07,1
P04350,Q01201,92.24,69.8,1
Q00653,P62913,76.08,92.01,1
Q00653,P23396,76.08,91.34,1
P20333,Q00610,67.53,78.04,1
P50914,Q99558,79.19,61.29,1
O95831,Q9Y572,85.79,67.62,1
Q9NYJ8,P27708,53.03,87.41,1
P63261,Q01201,95.34,69.8,1
Q14164,A0A024R663,88.66,,1
Q9H444,Q9H444,79.96,79.96,1
P63261,P25963,95.34,82.58,1
P17858,Q01201,92.8,69.8,1
Q9UM73,Q99759,67.28,67.2,1
Q3ZCQ8,Q01201,80.56,69.8,1
A0A024R2C0,A0A024R2C0,46.76,46.76,1
P11142,Q13077,89.18,79.79,1
P41279,Q05639,74.45,88.74,1
Q9Y6K9,P62263,82.83,90.01,1
P39023,Q13233,96.27,59.63,1
D0VY79,O00327,58.65,67.04,1
O43318-2,P0DPH7,,,1
Q00653,P25963,76.08,82.58,1
P63261,A0A0S2Z4Z8,95.34,75.22,1
P98177,P98177,56.11,56.11,1
B0ZBD0,Q00653,91.12,76.08,1
Q9Y6K9,Q00653,82.83,76.08,1
P07437,O15111,91.86,84.64,1
Q9R064,Q16549,64.66,82.36,1
Q9UHD2,A0A024RD80,89.88,82.98,1
Q9ESJ1,A1PQX5,58.54,63.41,1
Q9UIV1,P62324,91.4,81.96,1
A0A384NKX5,A0A0S2Z4Z8,88.81,75.22,1
Q13625-2,Q04206,,,1
Q96Q05,O43617,82.92,90.59,1
A0A024R1N1,O15111,,,1
Q99558,Q9BQ67,61.29,89.09,1
Q00653,Q8NFZ5,76.08,81.84,1
O00429,G4XH65,77.23,65.17,1
A0A024R8H5,P17858,87.27,92.8,1
A0A140VK49,P16104,88.88,87.33,1
Q00653,P04350,76.08,92.24,1
Q9Y4W6,P19438,77.39,71.68,1
Q9Y4K3,P51787,86.19,68.84,1
P19438,A0A0S2Z3L2,71.68,85.05,1
P19438,P07437,71.68,91.86,1
P07437,P20333,91.86,67.53,1
Q9Y6K9,P49327,82.83,85.91,1
P31273,O43541,65.57,72.31,1
P11142,P19438,89.18,71.68,1
Q92922,O14920,68.26,86.45,1
O43318-2,O43318,,,1
P11021,Q01201,90.33,69.8,1
Q9GZM8,Q9NRI5,79.08,64.74,1
P63261,O43318-2,95.34,,1
P58107,Q9Y6K9,,,1
P19438,Q9NVI7,71.68,79.47,1
Q00653,P0CG47,76.08,93.71,1
O96019-2,Q01201,,,1
Q00653,P78347,76.08,69.84,1
Q00610,Q9Y572,78.04,67.62,1
P05549,Q09472,67.63,54.7,1
P63261,Q13233,95.34,59.63,1
P20265,P20265,62.86,62.86,1
Q9Y572,P80723,67.62,52.27,1
O14654,P20333,49.03,67.53,1
Q06330,P46531,85.81,57.5,1
Q99558,P08708,61.29,86.72,1
Q9Y6K9,P23396,82.83,91.34,1
Q9Y2I8,Q04864,79.09,66.88,1
P60866,Q9Y6K9,85.63,82.83,1
Q80Y55,Q9NW68,63.57,62.48,1
Q92734,Q99759,60.73,67.2,1
P67809,Q99558,60.37,61.29,1
P23506,P22061,96.65,96.2,1
O43318-2,Q8N5C8,,,1
Q3ZCQ8,Q16637,80.56,66.6,1
Q13233,O95816,59.63,86.84,1
A0A024R5Z3,A0A024R274,82.02,72.97,1
Q99558,A0A024R1V4,61.29,93.34,1
P63261,Q99558,95.34,61.29,1
O35280,O14757,77.91,78.13,1
P20333,P04350,67.53,92.24,1
Q00653,Q01201,76.08,69.8,1
Q9P0K8,Q9P0K8,58.12,58.12,1
Q13077,K9JA46,79.79,84.41,1
P04350,O14920,92.24,86.45,1
A0A024R8H5,A0A384P5G6,87.27,84.94,1
Q14257,A0A024QZU0,78.27,65.18,1
Q13233,A8K517,59.63,93.19,1
A8K6K3,A0A024R8H5,77.07,87.27,1
Q9Y6U3,Q9Y572,82.08,67.62,1
A0A384NKW7,Q9Y6K9,89.6,82.83,1
P25025,O00519,78.62,95.47,1
P27694,P60709,85.41,95.51,1
A0A0S2Z591,Q99759,57.12,67.2,1
Q60809,P62324,91.78,81.96,1
A0A384NKX5,Q01201,88.81,69.8,1
Q96S82,P46379,68.69,58.55,1
Q6IA86,Q9UM07,89.65,94.47,1
A0A1U9X7W7,Q15628,89.35,84.91,1
P36578,Q13233,87.77,59.63,1
P19438,E9KL44,71.68,91.62,1
Q04864,A0A384P5G6,66.88,84.94,1
A0A384NKX5,Q99759,88.81,67.2,1
Q92844,Q15046,60.39,91.15,1
P07437,O43318-2,91.86,,1
A0A0S2Z3G9,Q99759,83.4,67.2,1
A0A024QZU0,A0A024R1Q8,65.18,92.61,1
P17858,Q14164,92.8,88.66,1
P50914,Q13233,79.19,59.63,1
A0A384NKN4,Q99759,90.12,67.2,1
Q00653,Q15029,76.08,89.69,1
Q9Y6K9,P60660,82.83,95.37,1
Q9Y6K9,O60763,82.83,85.16,1
Q99558,A3R0T8,61.29,60.9,1
D0VY79,Q09472,58.65,54.7,1
Q9NYJ8,P55735,53.03,90.84,1
Q9UIV1,P78543,91.4,86.58,1
P19838,Q04864,74.5,66.88,1
O43303,Q8IW35,54.9,58.99,1
Q9Y6K9,Q9HC62,82.83,62.31,1
K9JA46,Q15628,84.41,84.91,1
P05813,P05813,88.4,88.4,1
Q99558,P39023,61.29,96.27,1
P41279,P0DPH7,74.45,91.52,1
Q15654,A0A0G2JNZ2,63.15,,1
A0A024RBL3,Q93008,59.75,79.97,1
P11217,Q99759,94.41,67.2,1
A0A1U9X974,P02671,,,1
O14920,Q99759,86.45,67.2,1
Q99558,P19338,61.29,62.53,1
Q15653,A0A024RD80,77.34,82.98,1
Q00653,P42677,76.08,92.78,1
Q15653,Q15653,77.34,77.34,1
P52292,Q15653,86.11,77.34,1
P23396,P20333,91.34,67.53,1
Q96A65,Q15653,78.87,77.34,1
Q14164,P04350,88.66,92.24,1
A0A0S2Z4Z9,Q9Y572,73.66,67.62,1
Q9Y230,Q9NYJ8,84.33,53.03,1
A0A024RCW8,A0A024QZ62,92.82,79.59,1
Q13077,Q96GX9,79.79,93.52,1
P11142,A0A0S2Z4Z8,89.18,75.22,1
A0A1U9X974,A0A0S2Z3N3,,,1
P25963,Q12923,82.58,60.21,1
Q86VY4,Q93009,63.73,86.44,1
Q00653,P46783,76.08,75.14,1
P07437,Q99759,91.86,67.2,1
P19438,Q07021,71.68,75.82,1
P19105,Q99759,84.14,67.2,1
Q9Y6K9,Q9UMW8,82.83,84.06,1
Q9UHD2,P48643,89.88,89.4,1
P52272,Q13233,56.56,59.63,1
O95373,Q9Y4K3,88.27,86.19,1
Q9H0R3,A0A1U9X777,85.68,88.64,1
E9KL44,Q9Y572,91.62,67.62,1
P22102,Q9Y6K9,92.65,82.83,1
P07437,Q15653,91.86,77.34,1
Q9Y333,Q9UK45,94.61,88.99,1
P61981,Q99759,94.5,67.2,1
O15111,O14920,84.64,86.45,1
A0A0S2Z3L2,Q15628,85.05,84.91,1
Q99558,P25705,61.29,88.61,1
P51571,Q13233,88.74,59.63,1
Q13077,A0A1U9X7W7,79.79,89.35,1
A0A1U9X777,Q96KC8,88.64,71.27,1
P62258,Q99759,92.9,67.2,1
A0A024R8H5,Q96GX9,87.27,93.52,1
P55072,P25963,83.37,82.58,1
O15111,Q00610,84.64,78.04,1
Q3ZCQ8,Q15653,80.56,77.34,1
Q00653,Q92896,76.08,77.65,1
Q6WCQ1,Q9Y572,65.58,67.62,1
A0A384P5G6,Q01201,84.94,69.8,1
Q9BQI0,Q9Y572,84.36,67.62,1
A0A1U9X7W7,A0A0S2Z4Z8,89.35,75.22,1
Q00839,Q01201,65.78,69.8,1
P20333,P31689,67.53,83.35,1
P42766,Q13233,94.59,59.63,1
O15111,P25963,84.64,82.58,1
Q13813,Q14164,76.34,88.66,1
Q9GZR7,Q9H2G4,65.45,58.45,1
Q99832,Q9UHD2,89.04,89.88,1
