uidA,uidB,ConfidenceA,ConfidenceB,PPI_type,MMGBSA_1,MMGBSA_2,MMGBSA_3,MMGBSA_4,MMGBSA_5,MMGBSA_6,MMGBSA_7,MMGBSA_8,MMGBSA_9,MMGBSA_10,AVERAGE_3,AVERAGE_5,AVERAGE_10
K9JA46,P07901,84.41,85.54,1,-100.7,-59.19,-40.33,-38.9,-31.44,-25.62,-17.65,-15.26,-14.85,-5.88,-66.74,-54.112,-34.982
P07437,Q14164,91.86,88.66,1,-79.74,-67.73,-56.56,-54.78,-47.3,-44.31,-41.31,-36.44,-27.79,-26.58,-68.01,-61.222,-48.254
P36895,P36894,82.8,83.27,1,-92.48,-79.12,-54.51,-50.82,-49,-48.51,-32.43,-25.83,-25.56,-14.97,-75.37,-65.186,-47.323
Q9Y4K3,P11021,86.19,90.33,1,-53.49,-44.08,-40.94,-37.7,-36.99,-33.89,-30.55,-29.43,-25.7,-11.99,-46.17,-42.64,-34.476
P11142,P60709,89.18,95.51,1,-55.15,-48.49,-40.75,-34.66,-32.94,-31.88,-30.06,-21.06,-18.14,-8.93,-48.13,-42.398,-32.206
E9KL35,Q9UKT8,89.39,88.25,1,-58.14,-55.35,-50.73,-38.29,-36.9,-34.58,-31.57,-31.42,-27.21,-12.76,-54.74,-47.882,-37.695
A0A140VK42,Q9Y4K3,80.19,86.19,1,-114.72,-66.47,-64.98,-59.03,-57.99,-49.83,-49.33,-42.82,-36.58,-22.57,-82.05666667,-72.638,-56.432
Q9Y6K9,Q3ZCQ8,82.83,80.56,1,-66.75,-66.16,-63.34,-62.49,-60.54,-52.04,-39.84,-39.24,-34.75,-11.99,-65.41666667,-63.856,-49.714
A0A097PIJ6,P43320,90.01,89.38,1,-61.5,-55.83,-46.84,-46.43,-46.15,-43.11,-42.82,-36.1,-30.32,-25.24,-54.72333333,-51.35,-43.434
A0A024R8H5,A0A024R1Q8,87.27,92.61,1,-63.11,-51.22,-45.24,-45,-40.77,-40.35,-36.2,-35.38,-31.36,-22,-53.19,-49.068,-41.063
O75643,Q7LBR1,83.58,81.24,1,-73.57,-68.96,-61.39,-36.01,-34.57,-33.68,-30.74,-27.1,-25.64,-5.58,-67.97333333,-54.9,-39.724
Q13451,Q14164,92.88,88.66,1,-51.94,-50.7,-46.2,-32.1,-30.26,-28.26,-20.21,-16.21,-15,-11.43,-49.61333333,-42.24,-30.231
Q9UKB1,P25963,86.14,82.58,1,-94.25,-77.18,-76.33,-70.68,-55.9,-45.81,-44.87,-37.99,-36.44,-16.43,-82.58666667,-74.868,-55.588
P28074,Q9Y4K3,83.01,86.19,1,-59.54,-58.05,-53.83,-50.78,-41.62,-38,-36.01,-31,-30.84,-14.5,-57.14,-52.764,-41.417
Q9Y6K9,Q96P70,82.83,88.02,1,-58.97,-57.67,-43.42,-37.39,-35.28,-34.4,-34.18,-33.13,-30.06,-28.42,-53.35333333,-46.546,-39.292
A0A024RD80,O14920,82.98,86.45,1,-48.47,-42.35,-41.21,-36.81,-30.25,-26.6,-22.75,-20.17,-18.07,-7.49,-44.01,-39.818,-29.417
P08709,Q9Y6K9,82.74,82.83,1,-53.46,-47.66,-43.33,-40.6,-39.14,-36.8,-35.2,-29.16,-25.57,-25.48,-48.15,-44.838,-37.64
O95831,Q15628,85.79,84.91,1,-73.41,-51.51,-48.57,-45.65,-45.59,-44.58,-43.3,-42.13,-39.9,-33,-57.83,-52.946,-46.764
Q15628,P31689,84.91,83.35,1,-66.59,-50.89,-47.06,-44.4,-44.21,-39.94,-31.3,-31.28,-21.75,-12,-54.84666667,-50.63,-38.942
A0A384P5G6,O14920,84.94,86.45,1,-52.98,-51.18,-51.11,-34.26,-34.07,-28.34,-19.91,-19.57,-16.49,0.81,-51.75666667,-44.72,-30.71
Q9Y6K9,P54136,82.83,92.24,1,-75.76,-75.48,-69.57,-60.72,-50.34,-48.11,-42.38,-35.89,-31.93,-28.13,-73.60333333,-66.374,-51.831
O43542,O43502,88.14,84.45,1,-60.58,-55.15,-44.7,-42.84,-42.26,-41.34,-39.26,-29.1,-25.41,-22.08,-53.47666667,-49.106,-40.272
Q9Y6K9,Q92616,82.83,82.59,1,-56.71,-43.21,-41.74,-41.17,-27.36,-26.06,-19.51,-10.55,-10.36,0.19,-47.22,-42.038,-27.648
Q9Y6K9,A0A384P5G6,82.83,84.94,1,-67.07,-60.39,-48.28,-42.17,-30.74,-19.73,-19.66,-16.98,-15.49,-15.35,-58.58,-49.73,-33.586
P07437,Q15628,91.86,84.91,1,-64,-60.58,-49.01,-46.27,-44.47,-39.07,-22.77,-18.17,-16.2,-13.87,-57.86333333,-52.866,-37.441
Q9Y4K3,Q15008,86.19,83.86,1,-76.13,-72.42,-62.46,-51.18,-50.38,-36.99,-34.84,-34.52,-32.59,-12.36,-70.33666667,-62.514,-46.387
P42677,Q15628,92.78,84.91,1,-57.48,-55.46,-49.26,-44.7,-44.63,-40.35,-35.72,-35.06,-28.61,-25.31,-54.06666667,-50.306,-41.658
Q15628,A0A024RD80,84.91,82.98,1,-57.89,-57.46,-56.12,-48.97,-48.13,-41.52,-38.39,-35.03,-27.57,-13.27,-57.15666667,-53.714,-42.435
P11021,O14920,90.33,86.45,1,-54.32,-33.03,-26.92,-25.05,-22.71,-21.96,-9.46,-5.15,-4.13,-2.78,-38.09,-32.406,-20.551
Q14974,Q9Y4K3,94.92,86.19,1,-50.04,-47.94,-47.82,-39.91,-35.34,-33.77,-30.62,-29.88,-29.63,-26.31,-48.6,-44.21,-37.126
Q14164,P48643,88.66,89.4,1,-57.7,-54.85,-50.6,-47.82,-42.57,-37.85,-31.42,-29.12,-28.37,-11.72,-54.38333333,-50.708,-39.202
Q9Y4K3,P62333,86.19,87.05,1,-70.91,-68.24,-66.8,-64.11,-59.36,-45.38,-45.21,-40.49,-39.62,-25.51,-68.65,-65.884,-52.563
Q9UHD1,K9JA46,81.38,84.41,1,-71.28,-55.5,-38.69,-37.43,-37,-35.67,-20.66,-19.99,-19.37,-12.72,-55.15666667,-47.98,-34.831
O15111,A0A384P5G6,84.64,84.94,1,-46.6,-33.93,-27.76,-26.48,-22.69,-19.8,-13.81,-13.11,-11.87,-7.75,-36.09666667,-31.492,-22.38
P11142,Q9Y4K3,89.18,86.19,1,-72.14,-50.95,-44.06,-43,-36.95,-36.05,-27.66,-25.04,-20.25,-7.82,-55.71666667,-49.42,-36.392
Q9UFF9,P78543,90.83,86.58,1,-66.69,-49.66,-47.7,-43.39,-41.85,-35.66,-35.01,-34.18,-29.7,-19.31,-54.68333333,-49.858,-40.315
P53674,A0A024R429,82.37,92.79,1,-59.86,-58.27,-57.67,-46.24,-43.31,-36.79,-35.28,-28.35,-27.95,-27.91,-58.6,-53.07,-42.163
O95670,P36543,94.19,94.78,1,-108.7,-53.29,-51.92,-46.8,-40.93,-39.3,-37.74,-36.79,-29.17,-22.94,-71.30333333,-60.328,-46.758
P49368,Q9UHD2,89.09,89.88,1,-47.99,-42.68,-40.9,-35.47,-29.11,-28.29,-17.35,-16.97,-15.31,-8.25,-43.85666667,-39.23,-28.232
A0A1U9X7W7,O14920,89.35,86.45,1,-54.69,-37.68,-36.15,-20.21,-17.92,-14.12,-11.51,-8.48,-8.26,-1.84,-42.84,-33.33,-21.086
Q9Y6K9,P62140,82.83,91.99,1,-49.28,-49.21,-46.53,-43.32,-43.05,-37.28,-35.41,-29.68,-27.89,-20.07,-48.34,-46.278,-38.172
Q9Y4K3,P25786,86.19,91.86,1,-67.6,-61.21,-50.92,-48.06,-39.88,-38.77,-35.82,-33.28,-22.33,-15.42,-59.91,-53.534,-41.329
P05813,P43320,88.4,89.38,1,-68.53,-63.69,-61.04,-57.77,-45.66,-41.59,-37.1,-33.95,-33.1,-31.4,-64.42,-59.338,-47.383
P35250,A8K7B7,86.24,92.46,1,-52.29,-43.19,-28.01,-26.78,-25.33,-24.39,-23.86,-22.76,-20.83,-18.83,-41.16333333,-35.12,-28.627
Q15628,P0CG47,84.91,93.71,1,-73.2,-53.67,-52.92,-48.62,-47.03,-46.8,-41.89,-41.01,-36.1,-33.51,-59.93,-55.088,-47.475
P11142,O14920,89.18,86.45,1,-54.27,-47.98,-41.16,-34.64,-30.76,-26.93,-22.71,-18.63,-17.23,-7.97,-47.80333333,-41.762,-30.228
Q71U36,Q9Y6K9,91.89,82.83,1,-57.71,-54.75,-42.27,-33.75,-31.99,-28.21,-27.05,-26.73,-26.11,-5.13,-51.57666667,-44.094,-33.37
Q9Y6K9,P62913,82.83,92.01,1,-59.29,-57.77,-49.95,-49.79,-49.07,-45.37,-44.8,-36.26,-33.51,-28.37,-55.67,-53.174,-45.418
Q9Y6K9,Q676U5,82.83,84.38,1,-101.21,-77.53,-71.07,-64.25,-57.07,-54.59,-53.21,-43.09,-42.9,-35.34,-83.27,-74.226,-60.026
P63261,Q15628,95.34,84.91,1,-94.52,-51.91,-51.34,-50.83,-46.51,-34.48,-27.69,-26.19,-24.17,-19.53,-65.92333333,-59.022,-42.717
P51665,Q9Y4K3,82.92,86.19,1,-103.17,-65.06,-55.33,-53.06,-51.89,-51,-46.26,-43.57,-38.46,-36.84,-74.52,-65.702,-54.464
P05141,A0A024R8H5,91.43,87.27,1,-69.67,-63.32,-48.01,-46.16,-45.49,-44.66,-43.2,-39.93,-38.58,-23.5,-60.33333333,-54.53,-46.252
P07814,O14920,83.43,86.45,1,-46.53,-37.91,-35.76,-25.59,-23.3,-17.75,-17.72,-12.51,-9.99,-9.06,-40.06666667,-33.818,-23.612
Q9Y6K9,Q9UIA9,82.83,87.45,1,-63.07,-47.35,-42.98,-39.22,-34.57,-33.04,-29.13,-27.96,-23.42,-0.44,-51.13333333,-45.438,-34.118
P63261,P25963,95.34,82.58,1,-47.04,-44.59,-42.44,-34.38,-31.69,-31.4,-27.88,-25.77,-10.79,-7.43,-44.69,-40.028,-30.341
Q9Y6K9,P62263,82.83,90.01,1,-83.18,-60.81,-59.09,-57.26,-50.39,-45.87,-42.97,-41.46,-39.82,-34.11,-67.69333333,-62.146,-51.496
P07437,O15111,91.86,84.64,1,-47.58,-45.84,-45.71,-40.88,-36.3,-34.52,-33.8,-27.33,-12.07,-10.73,-46.37666667,-43.262,-33.476
Q9UHD2,A0A024RD80,89.88,82.98,1,-45.71,-37.94,-37.7,-35.19,-31.46,-26.65,-24.35,-21.89,-20.54,-8.25,-40.45,-37.6,-28.968
Q9UIV1,P62324,91.4,81.96,1,-73.58,-66.74,-54.87,-54.77,-52.08,-40.82,-40.6,-35.82,-31.32,-29.1,-65.06333333,-60.408,-47.97
Q96Q05,O43617,82.92,90.59,1,-61.53,-50.85,-47.03,-42.68,-35.55,-33.58,-31.34,-28.72,-25.56,-23.56,-53.13666667,-47.528,-38.04
A0A024R8H5,P17858,87.27,92.8,1,-64.63,-61.4,-59.8,-53.69,-39.1,-34.86,-34.08,-23.1,-17.26,-9.44,-61.94333333,-55.724,-39.736
A0A140VK49,P16104,88.88,87.33,1,-66.55,-62.91,-60.8,-48.54,-45.49,-39.36,-39.14,-27.92,-24.85,-19.3,-63.42,-56.858,-43.486
Q9Y6K9,P49327,82.83,85.91,1,-86.66,-58.9,-56.07,-37.84,-36.4,-30.68,-30.59,-30.16,-28.17,-24.94,-67.21,-55.174,-42.041
Q9Y6K9,P23396,82.83,91.34,1,-72.97,-53.49,-44.3,-43.13,-35.65,-33.53,-32.59,-32.49,-29.06,-20.66,-56.92,-49.908,-39.787
P60866,Q9Y6K9,85.63,82.83,1,-56.29,-50.78,-44.25,-34.05,-29.56,-29.49,-28.82,-28.79,-24.52,-18.34,-50.44,-42.986,-34.489
P23506,P22061,96.65,96.2,1,-83.88,-61.18,-42.06,-40.56,-38.85,-34.82,-32.23,-29.47,-23.29,-12.69,-62.37333333,-53.306,-39.903
P04350,O14920,92.24,86.45,1,-99.85,-40.05,-35.53,-31.52,-29.66,-20.19,-14.39,-12.71,-12.15,1.43,-58.47666667,-47.322,-29.462
A0A024R8H5,A0A384P5G6,87.27,84.94,1,-59.87,-58.16,-45.29,-44.36,-43.39,-41.42,-40.97,-35.43,-21.69,-20.03,-54.44,-50.214,-41.061
A0A384NKW7,Q9Y6K9,89.6,82.83,1,-72.14,-57.75,-47.19,-43.5,-38.79,-31.31,-29.17,-27.81,-23.28,-22.03,-59.02666667,-51.874,-39.297
P27694,P60709,85.41,95.51,1,-86.53,-59.74,-56.12,-49.46,-45.94,-39.34,-37.54,-35.39,-35.1,-18.26,-67.46333333,-59.558,-46.342
Q60809,P62324,91.78,81.96,1,-55.03,-52.87,-49.35,-47.68,-44.65,-39.37,-29.93,-20.61,-18.89,-17.39,-52.41666667,-49.916,-37.577
Q6IA86,Q9UM07,89.65,94.47,1,-62.22,-51.6,-46.09,-41.17,-41.13,-40.01,-35.89,-19.88,-16.42,-13.97,-53.30333333,-48.442,-36.838
A0A1U9X7W7,Q15628,89.35,84.91,1,-86.08,-61.83,-57.91,-41.49,-39.26,-38.9,-31.13,-28.54,-26.4,-22.92,-68.60666667,-57.314,-43.446
P17858,Q14164,92.8,88.66,1,-67.04,-61.53,-55.89,-49.63,-48.06,-31.16,-27.93,-18.56,-7.93,8.03,-61.48666667,-56.43,-35.97
Q9Y6K9,P60660,82.83,95.37,1,-66.86,-54.49,-52.66,-51.89,-51.4,-47.67,-47.08,-44.8,-38.17,-9.26,-58.00333333,-55.46,-46.428
Q9Y6K9,O60763,82.83,85.16,1,-70.95,-59.89,-51.21,-43.87,-39.73,-37.29,-32.71,-31.82,-31,-29.15,-60.68333333,-53.13,-42.762
Q9UIV1,P78543,91.4,86.58,1,-63.89,-49.63,-46.4,-42.22,-35.67,-34.76,-33.8,-26.11,-23.48,-16.63,-53.30666667,-47.562,-37.259
K9JA46,Q15628,84.41,84.91,1,-59.44,-46.03,-43.97,-41.33,-39.83,-30.38,-21.74,-15.59,-15.49,0.57,-49.81333333,-46.12,-31.323
P05813,P05813,88.4,88.4,1,-61.33,-59.1,-57.62,-54.71,-53.58,-53.05,-48.36,-43.95,-43.6,-43.56,-59.35,-57.268,-51.886
Q14164,P04350,88.66,92.24,1,-61.2,-40.73,-40.25,-39.98,-39.35,-38.81,-38.51,-33.57,-30.55,-26.44,-47.39333333,-44.302,-38.939
Q9Y6K9,Q9UMW8,82.83,84.06,1,-84.9,-74.31,-39.59,-36.74,-35.07,-33.14,-32.23,-29.79,-24.34,-18.39,-66.26666667,-54.122,-40.85
Q9UHD2,P48643,89.88,89.4,1,-47.08,-45.28,-44.74,-43.32,-41.88,-41.11,-33.68,-28.87,-26.65,-6.46,-45.7,-44.46,-35.907
O95373,Q9Y4K3,88.27,86.19,1,-65.97,-64.7,-54.65,-53.2,-46.35,-42.06,-41.03,-36.38,-31.65,-19.22,-61.77333333,-56.974,-45.521
Q9H0R3,A0A1U9X777,85.68,88.64,1,-110.43,-97.55,-72.27,-69.99,-66.29,-61.46,-59.79,-58.41,-55.5,-44.84,-93.41666667,-83.306,-69.653
P22102,Q9Y6K9,92.65,82.83,1,-54.17,-44.23,-36.7,-28.62,-28.04,-26.11,-23.72,-14.74,-11.77,-6.85,-45.03333333,-38.352,-27.495
Q9Y333,Q9UK45,94.61,88.99,1,-48.1,-44.23,-37.63,-34.89,-32.05,-31.84,-29.91,-24.78,-23.62,-22.74,-43.32,-39.38,-32.979
O15111,O14920,84.64,86.45,1,-58.69,-43.32,-41.09,-33.95,-33.69,-33.21,-30.12,-23.69,-22.04,-14.05,-47.7,-42.148,-33.385
A0A0S2Z3L2,Q15628,85.05,84.91,1,-83.14,-58.44,-52.56,-52.32,-48.97,-48.57,-45.47,-43.79,-42.45,-41.02,-64.71333333,-59.086,-51.673
A0A024R8H5,Q96GX9,87.27,93.52,1,-54.59,-50.58,-49.96,-44.98,-43.71,-38.49,-31.43,-31.32,-30.95,-24.41,-51.71,-48.764,-40.042
P55072,P25963,83.37,82.58,1,-35.66,-35.48,-27.98,-27.15,-20.18,-17.03,-13.16,-8.08,-7.33,-5.53,-33.04,-29.29,-19.758
O15111,P25963,84.64,82.58,1,-48.7,-37.3,-36.22,-32.39,-25.25,-22.76,-20.63,-20.52,-20.37,-12.29,-40.74,-35.972,-27.643
Q99832,Q9UHD2,89.04,89.88,1,-61.27,-59.31,-47.59,-44.14,-41.65,-33.24,-28.47,-27.15,-19.34,-9.99,-56.05666667,-50.792,-37.215
Q9UHD2,P62913,89.88,92.01,1,-61.33,-61.27,-55.31,-52.99,-52.11,-48.5,-36.6,-30.18,-27.87,-11.56,-59.30333333,-56.602,-43.772
Q60809,P78543,91.78,86.58,1,-67.04,-56.49,-51.14,-39.65,-37.05,-36.73,-31.97,-26.21,-20.24,-19.46,-58.22333333,-50.274,-38.598
A0A024R8H5,A0A024R8H5,87.27,87.27,1,-79.93,-76.07,-70.95,-67.53,-48.61,-46.54,-33.33,-32.59,-31.15,-16.98,-75.65,-68.618,-50.368
Q14164,P02786,88.66,86.81,1,-50.36,-49.84,-42.17,-39.42,-34.57,-33.43,-22.52,-21.43,-13.59,-13.52,-47.45666667,-43.272,-32.085
Q9Y4K3,P04350,86.19,92.24,1,-59.49,-46.1,-45.3,-39.77,-39.1,-38.04,-22.4,-16.41,-14.73,-9.36,-50.29666667,-45.952,-33.07
Q9Y6K9,Q9UHD2,82.83,89.88,1,-70.61,-65.76,-62.56,-57.89,-51.03,-48.38,-44.33,-41.74,-31.05,-11.89,-66.31,-61.57,-48.524
Q3ZCQ8,P25963,80.56,82.58,1,-73.23,-64.56,-51.96,-42.75,-35.49,-34.66,-28.78,-28.25,-27.49,-17.11,-63.25,-53.598,-40.428
A0A024R8H5,A0A1U9X7W7,87.27,89.35,1,-57.26,-54.85,-46.96,-39.43,-37.59,-36.76,-31.69,-26.87,-21.26,-11.89,-53.02333333,-47.218,-36.456
Q9Y4K3,Q9BVA1,86.19,91.95,1,-61.74,-54.16,-53.49,-51.37,-46.85,-42.06,-31.81,-31.31,-31.08,-27.12,-56.46333333,-53.522,-43.099
E9KL44,Q9Y4K3,91.62,86.19,1,-78.22,-58.8,-48.56,-34.86,-30.09,-29.86,-28.89,-23.53,-21.86,-20.09,-61.86,-50.106,-37.476
O60729,A0A384N605,80.97,96.71,1,-84.25,-64.56,-64.12,-52.42,-41.9,-39.69,-38.62,-36.89,-34.93,-30.27,-70.97666667,-61.45,-48.765
Q9Y6K9,P51398,82.83,85.26,1,-49.2,-45.95,-40.71,-39.59,-37.53,-31.7,-27.55,-23.71,-21.62,-17.36,-45.28666667,-42.596,-33.492
Q9Y6K9,P42677,82.83,92.78,1,-47.94,-40.33,-38.19,-36.16,-36.12,-35.33,-33.68,-27.89,-27.08,-14.96,-42.15333333,-39.748,-33.768
Q9UHD2,P25705,89.88,88.61,1,-80.85,-70.13,-63.7,-48.47,-41.41,-38.61,-34.41,-32.67,-29.65,-17.85,-71.56,-60.912,-45.775
P63261,O14920,95.34,86.45,1,-72.95,-71.08,-49.65,-46.23,-41.8,-36.09,-35.34,-27.56,-21.1,-2.81,-64.56,-56.342,-40.461
Q9UHD2,P50990,89.88,87.9,1,-57.4,-57.16,-47.3,-41.12,-25.55,-25.17,-23.02,-21.8,-15.41,-10.39,-53.95333333,-45.706,-32.432
Q9Y6K9,Q9P2J5,82.83,90.72,1,-60.21,-43.27,-29.92,-29.13,-27.32,-26.88,-20.97,-20.8,-18.89,-5.6,-44.46666667,-37.97,-28.299
Q14164,P19105,88.66,84.14,1,-72.62,-63.6,-61.48,-45.8,-42.29,-34.45,-33.78,-23.91,-22.07,-21.68,-65.9,-57.158,-42.168
P25963,P11021,82.58,90.33,1,-60.19,-52.72,-46.09,-37.94,-29.46,-29.42,-25.85,-22.09,-16.61,-14.64,-53,-45.28,-33.501
Q9BUF5,Q9Y4K3,92.16,86.19,1,-49.28,-39.71,-39.33,-35.97,-34.29,-32.28,-31.79,-26.78,-21.48,-18.48,-42.77333333,-39.716,-32.939
O95373,Q15628,88.27,84.91,1,-55.88,-52.67,-49.09,-43.67,-39.24,-36.68,-34.5,-33.25,-31.46,-26.71,-52.54666667,-48.11,-40.315
A0A024R8H5,P0DPH7,87.27,91.52,1,-69.35,-57.85,-38.42,-35.69,-26.37,-26.06,-24.17,-20.64,-20.28,-18.32,-55.20666667,-45.536,-33.715
O14920,O14920,86.45,86.45,1,-94.99,-47.1,-41.83,-41.56,-40.94,-40.42,-35,-28.97,-25.65,19.08,-61.30666667,-53.284,-37.738
Q9UFF9,Q9ULM6,90.83,90.02,1,-69.85,-56.42,-43.05,-41.31,-39.86,-37.03,-35.57,-28.51,-26.1,-20.39,-56.44,-50.098,-39.809
Q9NPP4,Q9NPP4,85.16,85.16,1,-49.44,-29.18,-26.35,-18.32,-18.22,-12.35,17.08,17.72,25.4,38.81,-34.99,-28.302,-5.485
Q9Y3E7,A0A024R794,81.92,93.34,1,-47.75,-47.59,-45.26,-43.64,-43.21,-34.7,-34.38,-32.78,-19.8,-1.51,-46.86666667,-45.49,-35.062
Q14164,A0A024RD80,88.66,82.98,1,-59.54,-39,-33.55,-30.31,-27.67,-23.65,-23.14,-14.87,4.22,7.22,-44.03,-38.014,-24.029
Q9Y6K9,A0A024R3X4,82.83,86.99,1,-50.23,-41.77,-41.19,-38.24,-35.55,-34.88,-29.26,-28.03,-22.59,-17.25,-44.39666667,-41.396,-33.899
O75477,Q9Y4K3,84.94,86.19,1,-66.15,-62.91,-52.24,-47.47,-42.22,-41.14,-41.11,-35.82,-31.75,-18.86,-60.43333333,-54.198,-43.967
Q9UHD2,A0A024RDL1,89.88,90.13,1,-55.15,-41.66,-40.63,-34.24,-33.09,-30.6,-28.7,-22.71,-19.24,5.28,-45.81333333,-40.954,-30.074
Q9Y6K9,P41252,82.83,88.87,1,-85.26,-84.74,-70.1,-49.82,-42.13,-41.3,-31.12,-28.17,-27.05,-19.58,-80.03333333,-66.41,-47.927
A0A0X8GLL6,A0A0X8GLL6,96.4,96.4,1,-66.77,-50.6,-49.79,-46.03,-42.89,-38.56,-37.33,-28.74,-22.9,-11.46,-55.72,-51.216,-39.507
O95163,P25963,84.13,82.58,1,-76.05,-43.72,-41.49,-41.15,-34.96,-28.27,-27.52,-20.05,-12.61,6.82,-53.75333333,-47.474,-31.9
P25963,Q71UM5,82.58,93.16,1,-57.03,-47.74,-47.46,-47.31,-38.54,-35.74,-28.29,-27.27,-21.35,-15.67,-50.74333333,-47.616,-36.64
P63261,Q9Y4K3,95.34,86.19,1,-60.67,-49.86,-46.55,-45.81,-44.56,-43.52,-35.95,-31.24,-29.47,-24.96,-52.36,-49.49,-41.259
O15111,P60660,84.64,95.37,1,-82.89,-66.1,-53.64,-46.63,-44.26,-41.86,-40.59,-36.59,-29.81,-29.39,-67.54333333,-58.704,-47.176
Q9Y6K9,B2R4W8,82.83,91.81,1,-61.21,-53.42,-52.03,-49.49,-49.41,-48.87,-47.84,-42.22,-40.63,-28.27,-55.55333333,-53.112,-47.339
Q9Y6K9,O95373,82.83,88.27,1,-55.49,-51.97,-47.87,-33.42,-25.92,-22.39,-20.6,-20.54,-16.07,-13.58,-51.77666667,-42.934,-30.785
P25963,P0DPH7,82.58,91.52,1,-68.07,-64.11,-60.98,-52.63,-49.02,-39.03,-35.21,-34.69,-32.66,-12.31,-64.38666667,-58.962,-44.871
Q9Y6K9,O14920,82.83,86.45,1,-79.25,-62.59,-48.91,-46.67,-42.96,-42.51,-40.11,-39.22,-29.07,-27.85,-63.58333333,-56.076,-45.914
Q9Y6K9,A0A024R1Q8,82.83,92.61,1,-74.32,-63.5,-56.69,-54.74,-53.1,-50.72,-41.48,-40.31,-34.83,-31.36,-64.83666667,-60.47,-50.105
A8K7B7,P35249,92.46,82.83,1,-73.98,-53.97,-50.92,-37.16,-37.13,-35,-34.09,-31.91,-27.07,-4.33,-59.62333333,-50.632,-38.556
Q9UHD2,P07195,89.88,96.05,1,-79.45,-60.82,-46.28,-45.34,-42.46,-39.54,-32.8,-27.07,-21.04,-16.2,-62.18333333,-54.87,-41.1
Q9Y6K9,P12236,82.83,91.79,1,-92.98,-88.38,-67.57,-63.13,-46.01,-45.17,-44.92,-43.05,-40.54,-37.05,-82.97666667,-71.614,-56.88
Q91VC3,A0A024R8W0,88.43,87.03,1,-67.22,-59.2,-57.53,-53.99,-52.86,-44.26,-35.3,-33.63,-31.58,-27.76,-61.31666667,-58.16,-46.333
Q9Y6K9,P19105,82.83,84.14,1,-62.88,-61.61,-51.91,-46.83,-43.44,-34.4,-33.44,-23.88,-20.17,-18.58,-58.8,-53.334,-39.714
Q9Y6K9,P63261,82.83,95.34,1,-51.4,-46.18,-44.36,-38.99,-36.21,-32.89,-31.12,-30.58,-30.32,-27.98,-47.31333333,-43.428,-37.003
Q71U36,P25963,91.89,82.58,1,-75.4,-63.37,-40.75,-38.86,-37.16,-32.53,-27.48,-24.7,-22.57,-10.92,-59.84,-51.108,-37.374
Q9Y6K9,P50213,82.83,90.67,1,-62.64,-54.5,-50.43,-45.15,-40.93,-40.35,-39.84,-36.79,-25.34,-18.39,-55.85666667,-50.73,-41.436
Q9Y333,P62310,94.61,89.46,1,-109.75,-55.83,-50.91,-44.29,-44.03,-35.91,-27.74,-27.5,-26.46,-18.33,-72.16333333,-60.962,-44.075
O15111,P06753,84.64,91.79,1,-39.42,-33.64,-33.34,-29.11,-28.34,-25.98,-23.29,-21.03,-18.05,-10.62,-35.46666667,-32.77,-26.282
P60709,P15927,95.51,80.68,1,-68.8,-64.81,-59.14,-55.81,-50.36,-36.24,-32.36,-29.89,-20.21,-18.29,-64.25,-59.784,-43.591
Q9Y6K9,Q13557,82.83,84.29,1,-58.92,-41.84,-40.17,-39.3,-31.85,-27.78,-26.91,-24.86,-23.3,-18.94,-46.97666667,-42.416,-33.387
A0A024R8H5,A0A024RD80,87.27,82.98,1,-48.43,-43.92,-37.63,-34.13,-33.91,-29.97,-16.98,-12.81,-6.03,-4.88,-43.32666667,-39.604,-26.869
Q9Y6K9,P62249,82.83,93.87,1,-74.87,-55.76,-53.91,-52.81,-48.69,-48.28,-47.12,-42.86,-41.41,-31.68,-61.51333333,-57.208,-49.739
A0A024R8H5,K9JA46,87.27,84.41,1,-71.8,-59.08,-50.91,-40.11,-36.5,-36,-35.36,-28.38,-26.63,-21.37,-60.59666667,-51.68,-40.614
Q96KB5,P19784,84.91,94.71,1,-50.45,-43.34,-39.16,-38.21,-35.43,-34.28,-33.47,-30.75,-19.87,-19.27,-44.31666667,-41.318,-34.423
P07437,A0A024R8H5,91.86,87.27,1,-45.87,-43.18,-36.25,-30.84,-28.01,-24.69,-22.88,-22.81,-20.66,-18.74,-41.76666667,-36.83,-29.393
O00231,Q9Y4K3,83.22,86.19,1,-62.39,-56.26,-47.63,-46.53,-43.64,-39.13,-28.76,-28.49,-27.52,-23.39,-55.42666667,-51.29,-40.374
A0A024R8H5,P04350,87.27,92.24,1,-62.25,-41.57,-40.85,-36.79,-36.17,-33.26,-29.55,-26.4,-24.75,-14.84,-48.22333333,-43.526,-34.643
P52907,O15111,93.51,84.64,1,-48.7,-34.57,-32.81,-32.72,-29.77,-23.09,-22.95,-21.31,-20.61,-13.17,-38.69333333,-35.714,-27.97
Q9Y4K3,A0A0S2Z3L2,86.19,85.05,1,-66.38,-60.1,-59.77,-52.53,-51.03,-48.47,-47.4,-47.15,-46.55,-37.37,-62.08333333,-57.962,-51.675
P05813,P53674,88.4,82.37,1,-59.99,-55.73,-54.83,-45.8,-44.48,-39.95,-38.32,-37.16,-36.16,-28.83,-56.85,-52.166,-44.125
Q9BVA1,O14920,91.95,86.45,1,-53.96,-51.15,-35.35,-33.11,-32.31,-22.01,-20.08,-19.19,-18.15,-15.05,-46.82,-41.176,-30.036
